timestamp  ; accountID ; userID ; machineID; Machinetype;  machine ; actual_powerOn_startTime ; planned_endTime ; planned_duration
2022-03-18 15:07:25.257631;user??;t2;Dryer;{'machineID': 't2', 'name': 'Tumbler1', 'machineType': 'Dryer', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-02-27 13:27:10', 'pin': 12}; startTime:2022-02-27 13:27:00 ; endTime:2022-02-27 13:27:10; duration:10
2022-03-18 15:07:59.224187;user??;l1;Dryer;{'machineID': 'l1', 'name': 'Tumbler1', 'machineType': 'Dryer', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-02-27 13:27:10', 'pin': 17}; startTime:2022-02-27 13:27:00 ; endTime:2022-02-27 13:27:10; duration:10
2022-03-18 15:08:32.855912;user??;l1;Dryer;{'machineID': 'l1', 'name': 'Tumbler1', 'machineType': 'Dryer', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-02-27 13:27:10', 'pin': 17}; startTime:2022-02-27 13:27:00 ; endTime:2022-02-27 13:27:10; duration:10
2022-03-18 15:08:57.200905;user??;l1;Dryer;{'machineID': 'l1', 'name': 'Tumbler1', 'machineType': 'Dryer', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-02-27 13:27:10', 'pin': 17}; startTime:2022-02-27 13:27:00 ; endTime:2022-02-27 13:27:10; duration:10
2022-03-20 16:19:15.799836;user??;l1;Dryer;{'machineID': 'l1', 'name': 'Tumbler1', 'machineType': 'Dryer', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-02-27 13:27:10', 'pin': 17}; startTime:2022-02-27 13:27:00 ; endTime:2022-02-27 13:27:10; duration:10
2022-03-20 16:20:08.728217;user??;l1;Dryer;{'machineID': 'l1', 'name': 'Tumbler1', 'machineType': 'Dryer', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-02-27 13:27:10', 'pin': 17}; startTime:2022-02-27 13:27:00 ; endTime:2022-02-27 13:27:10; duration:10
2022-03-20 16:40:08.473773;user??;l1;Dryer;{'machineID': 'l1', 'name': 'Tumbler1', 'machineType': 'Dryer', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-02-27 13:27:10', 'pin': 17}; startTime:2022-02-27 13:27:00 ; endTime:2022-02-27 13:27:10; duration:10
2022-03-20 16:48:49.819783;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-02-27 13:27:10', 'pin': 17}; startTime:2022-03-20 16:48:49.819649 ; endTime:2022-02-27 13:27:10; duration:-1826499
2022-03-20 16:49:51.215014;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-03-20 16:51:10', 'pin': 17}; startTime:2022-03-20 16:49:51.214888 ; endTime:2022-03-20 16:51:10; duration:78
2022-03-20 16:51:32.559391;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-03-20 16:51:10', 'pin': 17}; startTime:2022-03-20 16:51:32.559271 ; endTime:2022-03-20 16:51:10; duration:-22
2022-03-20 16:51:46.216114;user??;l1;Laundry;{'machineID': 'l1', 'name': 'Vaskemaskine1', 'machineType': 'Laundry', 'startTime': '2022-02-27 13:27:00', 'endTime': '2022-03-20 16:51:55', 'pin': 17}; startTime:2022-03-20 16:51:46.215990 ; endTime:2022-03-20 16:51:55; duration:8
